Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
0,0,0,0,0.665,0,0,0,0,0,0,0,0.393333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.523333333,0,0,0
0,0,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,1.143333333,0,0,0,0.985,0,0,0,0,0,0
4.51,3.49,18.235,18.365,4.66,3.16,12.71,5.44,2.07,2.71,0,0,1.466666667,0.486666667,0.996666667,0.62,0.643333333,0.13,0.42,0.336666667,2.87,6.316666667,36.19333333,4.88,2.486666667,0.66,2.133333333,2.795,3.486666667,1.28
35.275,14.2,41.355,50.325,14.33,10.685,16.01,8.44,1.67,1.625,2.16,1.355,3.316666667,2.533333333,3.51,4.016666667,4.41,0,3.23,1.12,16.295,26.45,74.91,10.395,4.643333333,4.265,2.986666667,13.065,13.40666667,3.74
0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363333333,0,0,0,0,0,0,0
5.66,1.275,2.125,14.705,0.79,0,1.045,0,0,1.3,0.625,0.885,0,0.363333333,2.113333333,2.45,0.993333333,0,1.116666667,2.19,17.76,11.42666667,26.66,4.155,3.213333333,2.295,1.213333333,0.965,4.473333333,2.24
0,0,0,4.485,0,1.525,3.5,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0.37,0
2.675,0,0,1.24,0,0,4.14,0,0,0,0,0,0,0.283333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.635,1.305,2.745,4.21,1.93,0.935,4.98,0.76,0,1.655,0,0,1.196666667,1.173333333,0,0.693333333,0,0,0,0,0,4.87,3.99,3.565,0,0,0.58,0,0.376666667,0
0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0.446666667,0,0,0,0,2.5,0.793333333,0,0,0.775,2.79,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
